"","AMZN","COST","Date"
"1",12.51,97,"2012-12-14"
"2",12.56,98.05,"2012-12-13"
"3",12.55,99.02,"2012-12-12"
"4",12.43,99,"2012-12-11"
"5",12.65,98.9,"2012-12-10"
"6",12.71,98.88,"2012-12-07"
"7",12.65,98.44,"2012-12-06"
"8",12.62,104.56,"2012-12-05"
"9",12.5,104.55,"2012-12-04"
"10",12.63,104.82,"2012-12-03"
"11",12.52,102.48,"2012-11-30"
"12",12.4,103.08,"2012-11-29"
"13",12.12,100.44,"2012-11-28"
"14",12.16,96.3,"2012-11-27"
"15",12.02,97.36,"2012-11-26"
"16",11.99,97,"2012-11-23"
"17",11.69,97.22,"2012-11-21"
"18",11.5,96.79,"2012-11-20"
"19",11.42,96.68,"2012-11-19"
"20",11.07,95.52,"2012-11-16"
"21",11.11,94,"2012-11-15"
"22",11.32,95.6,"2012-11-14"
"23",11.26,95.46,"2012-11-13"
"24",11.33,95.42,"2012-11-12"
"25",11.31,94.51,"2012-11-09"
"26",11.61,96.96,"2012-11-08"
"27",11.78,97.93,"2012-11-07"
"28",11.77,97.98,"2012-11-06"
"29",11.6,95.76,"2012-11-05"
"30",11.7,97.85,"2012-11-02"
"31",11.71,98.59,"2012-11-01"
"32",11.82,97.89,"2012-10-31"
"33",11.43,96.42,"2012-10-26"
"34",11.55,96,"2012-10-25"
"35",11.79,95.04,"2012-10-24"
"36",11.55,94.47,"2012-10-23"
"37",11.94,94.68,"2012-10-22"
"38",12.26,96.1,"2012-10-19"
"39",12.39,96.87,"2012-10-18"
"40",12.17,97.15,"2012-10-17"
"41",12.24,96.97,"2012-10-16"
"42",12.14,98.07,"2012-10-15"
"43",12.16,98.06,"2012-10-12"
"44",12.4,101.83,"2012-10-11"
"45",12.6,102.4,"2012-10-10"
"46",12.93,101.35,"2012-10-09"
"47",12.88,101.59,"2012-10-08"
"48",13.06,101.8,"2012-10-05"
"49",12.8,100,"2012-10-04"
"50",12.56,99.25,"2012-10-03"
"51",12.64,100.86,"2012-10-02"
"52",12.77,100.63,"2012-10-01"
"53",12.81,100.22,"2012-09-28"
"54",12.53,101.06,"2012-09-27"
"55",12.62,101.86,"2012-09-26"
"56",12.82,102.48,"2012-09-25"
"57",12.76,102.75,"2012-09-24"
"58",13.09,102.76,"2012-09-21"
"59",13,101.58,"2012-09-20"
"60",12.97,102.4,"2012-09-19"
"61",12.92,102.2,"2012-09-18"
"62",13.06,102.1,"2012-09-17"
"63",13.07,102.68,"2012-09-14"
"64",12.75,100.79,"2012-09-13"
"65",12.82,99.99,"2012-09-12"
"66",12.88,100.37,"2012-09-11"
"67",12.95,99.49,"2012-09-10"
"68",12.69,100,"2012-09-07"
"69",12.41,98.72,"2012-09-06"
"70",12.38,98.25,"2012-09-05"
"71",12.41,97.79,"2012-09-04"
"72",12.4,99.28,"2012-08-31"
"73",12.35,97.56,"2012-08-30"
"74",12.34,95.6,"2012-08-29"
"75",12.2,96.32,"2012-08-28"
"76",12.29,96.15,"2012-08-27"
"77",12.08,94.68,"2012-08-24"
"78",12.11,95.18,"2012-08-23"
"79",11.97,95.33,"2012-08-22"
"80",12.04,95.95,"2012-08-21"
"81",12.07,96,"2012-08-20"
"82",12.03,96.79,"2012-08-17"
"83",11.89,96.23,"2012-08-16"
"84",11.61,95.84,"2012-08-15"
"85",11.74,96,"2012-08-14"
"86",11.61,95.08,"2012-08-13"
"87",11.65,95.02,"2012-08-10"
"88",11.7,95.82,"2012-08-09"
"89",11.76,95.94,"2012-08-08"
"90",11.71,96.72,"2012-08-07"
"91",11.78,97.18,"2012-08-06"
"92",11.7,97,"2012-08-03"
"93",11.53,95.6,"2012-08-02"
"94",11.71,96.43,"2012-08-01"
"95",11.76,96.14,"2012-07-31"
"96",11.85,97.11,"2012-07-30"
"97",11.26,96.15,"2012-07-27"
"98",11,94.95,"2012-07-26"
"99",11.1,94.19,"2012-07-25"
"100",11.31,94.52,"2012-07-24"
"101",11.24,95.11,"2012-07-23"
"102",11.27,95.8,"2012-07-20"
"103",11.04,96.02,"2012-07-19"
"104",10.81,95.68,"2012-07-18"
"105",10.87,95.3,"2012-07-17"
"106",10.83,94.54,"2012-07-16"
"107",10.78,94.11,"2012-07-13"
"108",10.83,94.09,"2012-07-12"
"109",10.95,93.88,"2012-07-11"
"110",11.31,94.47,"2012-07-10"
"111",11.25,94,"2012-07-09"
"112",11.32,94.06,"2012-07-06"
"113",11.43,93.46,"2012-07-05"
"114",11.46,94.51,"2012-07-03"
"115",11.47,95,"2012-07-02"
"116",11.23,93.51,"2012-06-29"
"117",11.2,90.83,"2012-06-28"
"118",11.25,91.98,"2012-06-27"
"119",11.07,91.15,"2012-06-26"
"120",11.02,90.75,"2012-06-25"
"121",11.09,90.79,"2012-06-22"
"122",11.19,91.5,"2012-06-21"
"123",11.23,91.68,"2012-06-20"
"124",11.16,91.93,"2012-06-19"
"125",10.86,91.37,"2012-06-18"
"126",10.76,90.35,"2012-06-15"
"127",10.76,87.85,"2012-06-14"
"128",10.78,88.11,"2012-06-13"
"129",10.88,88.24,"2012-06-12"
"130",10.87,89.06,"2012-06-11"
"131",10.93,88.01,"2012-06-08"
"132",10.98,88.05,"2012-06-07"
"133",10.73,86.99,"2012-06-06"
"134",10.69,86.29,"2012-06-05"
"135",10.37,85.44,"2012-06-04"
"136",10.42,86,"2012-06-01"
"137",10.47,85.59,"2012-05-31"
"138",10.61,85.9,"2012-05-30"
"139",10.72,85.11,"2012-05-29"
"140",10.75,84.9,"2012-05-25"
"141",10.85,84.25,"2012-05-24"
"142",10.74,82.98,"2012-05-23"
"143",10.92,83.47,"2012-05-22"
"144",10.7,83.19,"2012-05-21"
"145",10.97,83.7,"2012-05-18"
"146",11.25,84.86,"2012-05-17"
"147",11.25,84.88,"2012-05-16"
"148",11.32,84.1,"2012-05-15"
"149",11.28,84.26,"2012-05-14"
"150",11.3,83.84,"2012-05-11"
"151",11.2,83.4,"2012-05-10"
"152",11.03,82.22,"2012-05-09"
"153",11.16,83.02,"2012-05-08"
"154",11.12,83.38,"2012-05-07"
"155",11.39,84.21,"2012-05-04"
"156",11.49,85.86,"2012-05-03"
"157",11.39,86.89,"2012-05-02"
"158",11.47,86.91,"2012-05-01"
"159",11.2,88.7,"2012-04-30"
"160",11.24,88.39,"2012-04-27"
"161",9.68,87.26,"2012-04-26"
"162",9.58,86.77,"2012-04-25"
"163",9.43,86.81,"2012-04-24"
"164",9.45,87.22,"2012-04-23"
"165",9.62,87.38,"2012-04-20"
