disasterNumber,declarationDate,disasterName,incidentBeginDate,incidentEndDate,declarationType,stateCode,stateName,incidentType,entryDate,updateDate,closeoutDate,region,ihProgramDeclared,iaProgramDeclared,paProgramDeclared,hmProgramDeclared,designatedIncidentTypes,declarationRequestDate,id,hash,lastRefresh
3623,2024-10-08T00:00:00.000Z,HURRICANE MILTON,2024-10-05T00:00:00.000Z,,Emergency,FL,Florida                       ,Hurricane,2024-10-08T00:00:00.000Z,2024-10-08T00:00:00.000Z,,4,0,0,1,0,H,2024-10-06T00:00:00.000Z,465891c3-c985-4a5c-8405-fc56261c69a7,98840ec1fede4427863175d5a8e383cc9e48afd6,2024-10-09T19:01:58.075Z
3622,2024-10-07T00:00:00.000Z,HURRICANE MILTON,2024-10-05T00:00:00.000Z,,Emergency,FL,Florida                       ,Hurricane,2024-10-07T00:00:00.000Z,2024-10-07T00:00:00.000Z,,4,0,0,1,0,"8,H",2024-10-06T00:00:00.000Z,fbfdcab3-dfd9-4453-9f51-c78da122dd3a,f2053d727c5f18d35400e3e8e75dc0f2e77f7367,2024-10-09T19:01:58.075Z
4833,2024-10-04T00:00:00.000Z,WATCH FIRE,2024-07-10T00:00:00.000Z,2024-07-17T00:00:00.000Z,Major Disaster,AZ,Arizona                       ,Fire,2024-10-04T00:00:00.000Z,2024-10-04T00:00:00.000Z,,9,1,0,1,1,R,2024-08-16T00:00:00.000Z,96fac68f-e6b6-41d8-a083-d1e2ecb34e8f,8eeaf3a681cb24c83c412fcd6cda83c017d6a38b,2024-10-09T19:01:58.075Z
4832,2024-10-02T00:00:00.000Z,TROPICAL STORM HELENE,2024-09-26T00:00:00.000Z,,Major Disaster,TN,Tennessee                     ,Tropical Storm,2024-10-02T00:00:00.000Z,2024-10-09T00:00:00.000Z,,4,1,0,1,1,"4,W",2024-09-30T00:00:00.000Z,1ca3578c-9312-4eb0-aa6b-2a6486e8e7d1,bbb0029c427be8b190e71225d43accc9beb720e4,2024-10-09T19:01:58.075Z
3621,2024-09-29T00:00:00.000Z,POST-TROPICAL CYCLONE HELENE,2024-09-25T00:00:00.000Z,,Emergency,VA,Virginia                      ,Tropical Storm,2024-09-29T00:00:00.000Z,2024-10-01T00:00:00.000Z,,3,0,0,1,0,4,2024-09-28T00:00:00.000Z,dcb098b3-0bb3-4d62-9e8b-eb21c172ccca,1638682dc6f56df6c814f6dd13b2f9318e82ea36,2024-10-09T19:01:58.075Z
3620,2024-09-27T00:00:00.000Z,TROPICAL STORM HELENE,2024-09-26T00:00:00.000Z,,Emergency,TN,Tennessee                     ,Tropical Storm,2024-09-28T00:00:00.000Z,2024-09-28T00:00:00.000Z,,4,0,0,1,0,"4,F,W",2024-09-27T00:00:00.000Z,3c8efcd1-0b48-47ee-a8ec-40da8feb820a,d5c85f18b8e2048b6de85948de7f49ce3d6cebe9,2024-10-09T19:01:58.075Z
3619,2024-09-26T00:00:00.000Z,HURRICANE HELENE,2024-09-25T00:00:00.000Z,,Emergency,SC,South Carolina                ,Tropical Storm,2024-09-27T00:00:00.000Z,2024-09-27T00:00:00.000Z,,4,0,0,1,0,"4,F,H,M,T",2024-09-26T00:00:00.000Z,b02330ef-cc9e-48bf-9c68-dcf9e83869f8,87c4f487cfce246748e7680013d114c17d16d519,2024-10-09T19:01:58.075Z
3618,2024-09-26T00:00:00.000Z,HURRICANE HELENE,2024-09-22T00:00:00.000Z,,Emergency,AL,Alabama                       ,Hurricane,2024-09-26T00:00:00.000Z,2024-09-27T00:00:00.000Z,,4,0,0,1,0,"4,H,T,W",2024-09-25T00:00:00.000Z,b04f8af6-8a8d-4f1f-ac8f-926e827886a2,4dadf076baa4268dccb881a59e36052937e7ecb2,2024-10-09T19:01:58.075Z
4826,2024-09-26T00:00:00.000Z,"SEVERE STORMS, FLOODING, LANDSLIDES, AND MUDSLIDES",2024-07-29T00:00:00.000Z,2024-07-31T00:00:00.000Z,Major Disaster,VT,Vermont                       ,Flood,2024-09-26T00:00:00.000Z,2024-09-26T00:00:00.000Z,,1,1,0,1,1,"F,M,W",2024-08-28T00:00:00.000Z,e6d2dd18-bbd9-46ec-95ae-07e657f9bb65,e9e169050a68c78af7cb774c3336f868e5e81b93,2024-10-09T19:01:58.075Z
3617,2024-09-26T00:00:00.000Z,HURRICANE HELENE,2024-09-25T00:00:00.000Z,,Emergency,NC,North Carolina                ,Tropical Storm,2024-09-26T00:00:00.000Z,2024-09-26T00:00:00.000Z,,4,0,0,1,0,"4,8,F,H,M,W",2024-09-25T00:00:00.000Z,95e36608-e203-4702-920e-5ef9a616dcaa,e5a1483c51ef357736a7eb7353400611efb40d75,2024-10-09T19:01:58.075Z
3616,2024-09-26T00:00:00.000Z,HURRICANE HELENE,2024-09-24T00:00:00.000Z,,Emergency,GA,Georgia                       ,Tropical Storm,2024-09-26T00:00:00.000Z,2024-09-26T00:00:00.000Z,,4,0,0,1,0,"4,H",2024-09-25T00:00:00.000Z,e4beedf2-7f23-42d2-a311-f9d9628cb7bd,89a658279ef1ec3982ce544ad9953f7e156dc3ef,2024-10-09T19:01:58.075Z
4825,2024-09-24T00:00:00.000Z,REMNANTS OF TROPICAL STORM DEBBY,2024-08-08T00:00:00.000Z,2024-08-10T00:00:00.000Z,Major Disaster,NY,New York                      ,Tropical Storm,2024-09-25T00:00:00.000Z,2024-09-25T00:00:00.000Z,,2,0,0,1,1,"4,8,F,H,W",2024-09-06T00:00:00.000Z,e2ccf183-7c53-4222-8cca-988e190fdc26,e7ed709bfd8e3e43500ca3b8d000c000697a519c,2024-10-09T19:01:58.075Z
