Date,Open,High,Low,Close,Adj Close,Volume
"Dec 14, 2012",97,97.96,96.85,96.92,76.92,"2,160,800"
"Dec 13, 2012",98.05,98.87,97.34,97.85,77.66,"2,715,100"
"Dec 12, 2012",99.02,99.39,97.25,97.72,77.56,"5,390,300"
"Dec 11, 2012",99,99.65,98.07,98.31,78.02,"4,021,200"
"Dec 10, 2012",98.9,99.27,98.55,98.95,78.53,"2,317,000"
"Dec 7, 2012",98.88,99.01,98.17,98.56,78.22,"3,093,800"
"Dec 6, 2012",98.44,99.63,98.08,98.47,78.15,"5,057,500"
"Dec 5, 2012",104.56,105.97,104.3,105.95,78.53,"8,470,800"
"Dec 4, 2012",104.55,104.92,104.02,104.4,77.38,"3,850,200"
"Dec 3, 2012",104.82,104.82,103.9,104.59,77.52,"4,268,800"
"Nov 30, 2012",102.48,104.5,101.66,103.92,77.03,"4,951,400"
"Nov 29, 2012",103.08,103.21,101.56,101.88,75.51,"6,360,500"
"Nov 28, 2012",100.44,102.62,100,102.58,76.03,"10,407,800"
"Nov 27, 2012",96.3,97.33,95.77,96.51,71.53,"2,428,000"
"Nov 26, 2012",97.36,97.53,95.83,96.26,71.35,"1,531,200"
"Nov 23, 2012",97,97.93,96.56,97.92,72.58,"671,900"
"Nov 21, 2012",97.22,97.4,96.47,96.74,71.7,"1,045,500"
"Nov 20, 2012",96.79,97.12,96.2,97.12,71.99,"1,783,200"
"Nov 19, 2012",96.68,96.83,95.37,96.57,71.58,"2,877,500"
"Nov 16, 2012",95.52,96.23,94.64,95.69,70.93,"3,105,400"
"Nov 15, 2012",94,95.88,93.51,95.7,70.93,"2,445,500"
"Nov 14, 2012",95.6,95.97,94.16,94.47,70.02,"3,587,500"
"Nov 13, 2012",95.46,96.63,95.25,95.69,70.72,"2,328,400"
"Nov 12, 2012",95.42,96.16,95.09,95.98,70.94,"1,632,800"
"Nov 9, 2012",94.51,96.2,94.43,95.46,70.55,"2,542,800"
"Nov 8, 2012",96.96,97.44,94.74,94.74,70.02,"2,906,000"
"Nov 7, 2012",97.93,98.12,96.06,97.3,71.91,"2,620,100"
"Nov 6, 2012",97.98,99.6,97.92,98.79,73.01,"2,410,300"
"Nov 5, 2012",95.76,97.8,95.45,97.73,72.23,"2,199,500"
"Nov 2, 2012",97.85,98.12,96.04,96.12,71.04,"2,025,500"
"Nov 1, 2012",98.59,98.8,97.13,97.13,71.79,"2,941,200"
"Oct 31, 2012",97.89,98.78,97.4,98.43,72.75,"3,534,300"
"Oct 26, 2012",96.42,97.52,96.12,96.94,71.65,"2,998,900"
"Oct 25, 2012",96,96.63,95.77,96.62,71.41,"2,734,800"
"Oct 24, 2012",95.04,96.25,94.5,95.62,70.67,"4,327,600"
"Oct 23, 2012",94.47,95.81,93.84,95.18,70.35,"3,357,400"
"Oct 22, 2012",94.68,95.32,94.13,95,70.21,"3,097,700"
"Oct 19, 2012",96.1,96.23,94.46,94.78,70.05,"3,859,900"
"Oct 18, 2012",96.87,97.36,96.25,96.33,71.2,"2,804,300"
"Oct 17, 2012",97.15,97.36,95.78,96.78,71.53,"4,113,700"
"Oct 16, 2012",96.97,97.52,96.51,97,71.69,"3,788,300"
"Oct 15, 2012",98.07,98.13,96.44,96.51,71.33,"4,005,200"
"Oct 12, 2012",98.06,98.48,96.18,97.55,72.1,"7,552,500"
